song_id,fundamental_frequency,RMS_amplitude
0,50.666666666666664,11.05972216771666
1,99.58340276620564,18.58053864000889
2,55.36666666666667,5.5015035271303585
3,86.8,7.5622550694955475
4,52.5,9.823403085340809
5,49.25,10.906030736414193
6,38.97683719380103,14.04186121643312
7,55.62593765627605,10.336400523694994
8,38.8,9.40827185265563
9,43.6,4.459338136381153
10,52.0,7.1723895149501375
11,27.166666666666668,11.491376242704305
12,190.80153307782035,10.45366668807947
13,69.53333333333333,11.520282174881347
14,104.00066677779631,7.785457199408935
15,190.51666666666665,9.237772962438271
16,70.66666666666667,13.91058687679799
17,55.06666666666666,10.00504990547829
18,51.99133477753708,10.332799439546935
19,96.08333333333333,12.977768604478541
20,50.0,7.747988078903667
21,88.58523579403433,9.665315682407833
22,51.208131978003664,9.740775070663206
23,46.15,6.994612292934629
24,132.25537589598267,10.660487253438232
25,165.83333333333334,9.930480579068165
26,36.833333333333336,15.008525623999514
27,51.78333333333333,11.677695062775301
28,49.583333333333336,19.397202603386024
29,54.166666666666664,9.920667579638703
30,42.659556740543245,11.21409815148485
31,101.83333333333333,8.560296462204644
32,31.161473087818695,2.56604584592661
33,261.4730878186969,10.535289617302725
34,38.739789964994166,6.151514400889305
35,45.0,10.212361114416685
36,58.65,9.650998531563975
37,0.0,12.04421527960161
38,61.67694615769295,7.317684790238068
39,49.96666666666667,9.290625941342405
40,45.833333333333336,11.76429828546121
41,34.755792632105354,9.698468941379987
42,292.2653775629272,16.951740789906808
43,115.30255042507086,18.195728346525886
44,165.93333333333334,10.39317139015512
45,73.1,12.248029482952667
46,82.74712452075347,10.143955330438413
47,68.85,13.530619465037027
48,39.083333333333336,11.750891865531598
49,92.5487581263544,9.539994067624031
50,45.79096516086015,6.606486295242172
51,41.96666666666667,9.416328261802887
52,53.083333333333336,10.136636343194258
53,43.65727621270212,6.910908706892173
54,56.0,11.338534606107126
55,32.62789535077487,9.748635165761566
56,93.33333333333333,10.63564572884244
57,55.8,10.98000294885864
58,58.25,13.164934241248183
59,47.45790965160861,18.54047652687452
60,68.96666666666667,8.230581138985064
61,184.96666666666667,9.236818573573432
62,40.52657890351608,14.581975769213052
63,85.26666666666667,12.390178696249704
64,174.68333333333334,10.985167493539237
65,82.18333333333334,6.841407589999298
66,69.67172137977003,9.18895553070147
67,70.95,15.878597202900023
68,49.583333333333336,13.417139985828037
69,62.06666666666666,8.632807275639445
70,103.81666666666666,7.78463103140662
71,37.13333333333333,8.76443533965062
72,45.53333333333333,9.3139924139705
73,165.61666666666667,9.084159208441118
74,50.6582236293951,12.761709000762659
75,44.9925012497917,7.757788280309715
76,86.93333333333334,8.20413629480581
77,51.6,9.980024471656424
78,16.0026671111852,7.1441735760425935
79,72.0,12.89964735265723
80,52.0,7.5956601735610985
81,71.96666666666667,12.031462772288839
82,156.4,11.148795104928006
83,58.333333333333336,9.318428332998126
84,95.8,11.617213495170049
85,87.4645774295716,8.238158879939247
86,55.68333333333333,10.596692487123832
87,66.15,10.219350806327071
88,84.75,11.052573952352557
89,61.8,7.811845955955822
90,57.39043492751208,10.916371342405213
91,62.056323946009,7.41091310341985
92,47.90798466411069,6.2227600043385305
93,48.05865689051825,8.623168830581939
94,109.85,9.204199845269912
95,192.51666666666665,11.155484680409952
96,51.191865310885156,7.901355815736382
97,128.0,16.168656052426456
98,62.83952674554241,13.84936193229815
99,78.0,11.23169247258004
