,PC1,PC2
rms_mean,1.4999117807964308,-0.18198303560062262
rms_var,1.3566760274806642,0.4866807525900509
spectral_centroid_mean,2.0511788717431876,-0.6797754935899922
spectral_centroid_var,1.8589538535485277,0.7817543003411022
spectral_bandwidth_mean,2.123361567291037,-0.27651792893512056
spectral_bandwidth_var,0.8383765877995333,1.297716148025286
zero_crossing_rate_mean,1.5475391843850448,-0.9801940633101078
zero_crossing_rate_var,1.9143834039732268,0.1402337500944862
rolloff_mean,2.1011196347749226,-0.5674208825965615
rolloff_var,1.2107105013854635,1.2336605405888157
